"scores","team","id","age"
3.27398208135686,"Amateur",1,14.38
3.40859459743416,"NWT",2,22.47
2.57670889372392,"Amateur",3,19.11
3.03208799908964,"NWT",4,21.99
2.37876189320011,"Amateur",5,17.21
3.1095708271593,"Amateur",6,18.82
2.41030535235938,"NWT",7,27.43
3.48400584411732,"NWT",8,22.44
4.56370276292845,"NWT",9,23.45
1.08778318414786,"Amateur",10,19.39
4.22810871335025,"NWT",11,18.75
3.27692703263751,"Amateur",12,15.48
2.54871566026349,"Amateur",13,16.92
1.42189276981261,"Amateur",14,20.25
2.70348398475572,"Amateur",15,15.98
1.53477667207103,"NWT",16,21.06
2.97085434097292,"Amateur",17,21
3.6167666043489,"Amateur",18,15.84
1.75271716030488,"Amateur",19,17.8
3.63049383242431,"Amateur",20,17.74
2.97070797266223,"NWT",21,29.07
3.46196460749725,"NWT",22,25.26
2.74943662311863,"NWT",23,21.16
4.23255232731377,"Amateur",24,14.48
3.58453772640222,"Amateur",25,16.21
3.34767576321894,"Amateur",26,15.82
3.40422781761774,"Amateur",27,17.04
3.09532114414302,"NWT",28,29.21
3.61486797925973,"Amateur",29,18.91
3.47253989430487,"NWT",30,30.41
3.26064741864842,"Amateur",31,18
3.34082964166927,"Amateur",32,16.67
2.77321769379487,"Amateur",33,18.99
3.05959227386455,"NWT",34,22.31
4.48603632358683,"Amateur",35,18.79
3.01200847365326,"NWT",36,23.8
2.56110133275802,"NWT",37,20.5
3.00919367871423,"NWT",38,24.76
2.03637327298079,"NWT",39,33.06
3.3335995059788,"NWT",40,21.42
5.15123296656006,"Amateur",41,15.36
3.58030617524543,"Amateur",42,21.08
1.44742116637926,"NWT",43,17.33
2.64697938757724,"NWT",44,28.92
2.86064295900971,"Amateur",45,16.54
3.32947394711004,"NWT",46,32.24
2.3983834103114,"Amateur",47,17.21
2.84117051202121,"NWT",48,27.7
2.42026465798039,"Amateur",49,21.28
3.12580775257211,"Amateur",50,15.98
3.60738476897269,"NWT",51,32.73
2.5549278817298,"NWT",52,32.07
6.37908803842128,"Amateur",53,23.68
2.55568551667882,"Amateur",54,17.97
3.11438529264655,"Amateur",55,14.81
2.83695644087501,"NWT",56,17.11
2.58076897039822,"Amateur",57,16.38
3.30009588820618,"Amateur",58,19.95
2.32333256843715,"NWT",59,21.91
3.01406493698206,"Amateur",60,20.35
1.80709095725357,"Amateur",61,20.14
1.50360926031283,"NWT",62,21.87
2.49411842939625,"Amateur",63,17.75
3.10770033976479,"Amateur",64,15.27
2.63557479928483,"Amateur",65,15.03
2.44568718612794,"Amateur",66,16.66
2.72216830823121,"NWT",67,20.86
2.01598555339208,"Amateur",68,15.94
2.95025859335783,"NWT",69,18.31
2.91642271624311,"NWT",70,24.49
3.17325320811445,"Amateur",71,17.85
2.24966800864674,"NWT",72,14.68
2.04885769457211,"NWT",73,29.14
3.13496460711188,"Amateur",74,15.37
3.57438223686648,"Amateur",75,16.99
4.87278098011455,"NWT",76,23.73
2.19309904138935,"NWT",77,20.66
3.99522424829933,"NWT",78,20.96
3.2314756836252,"Amateur",79,15.25
2.66080992839196,"NWT",80,34.98
3.09953986824239,"Amateur",81,19.2
4.47700716184217,"Amateur",82,15.15
3.79646447758854,"Amateur",83,16.34
3.44507741229438,"NWT",84,26.46
2.96614470519257,"Amateur",85,20.7
3.45913180512328,"NWT",86,31.18
2.61680161107515,"NWT",87,16.39
2.34401924560642,"Amateur",88,21.09
3.11185488029089,"Amateur",89,19.96
1.26731825410238,"Amateur",90,16.8
3.2827765370941,"NWT",91,31.61
2.68253639470668,"Amateur",92,19.27
2.82850239739915,"Amateur",93,18.09
3.68885367310207,"Amateur",94,14.75
3.18128304045145,"Amateur",95,16.61
4.28664942188194,"Amateur",96,14.23
3.32542272051081,"NWT",97,19.3
2.91154005375497,"NWT",98,33.89
2.18315937015371,"Amateur",99,18.83
1.83032666259053,"Amateur",100,16.46
4.34193616380721,"Amateur",101,14.23
2.56477679658068,"Amateur",102,18.71
3.66532018691755,"Amateur",103,16.8
3.54979177137225,"Amateur",104,17.83
3.36245518864388,"Amateur",105,18.92
3.06128610615767,"NWT",106,28.3
3.86014282173116,"NWT",107,23.71
2.4391534271482,"NWT",108,34.51
2.91288284303787,"Amateur",109,18.12
3.75862853939143,"Amateur",110,22.41
3.52361232273968,"Amateur",111,14.13
3.13327066838831,"Amateur",112,22.03
3.77268166097665,"Amateur",114,13.11
3.67438847659446,"Amateur",115,16.79
2.25405708066545,"Amateur",116,16.88
3.36711525301978,"Amateur",117,15.31
3.15711098429126,"Amateur",118,16.41
3.29356604857889,"Amateur",119,18.25
1.54729812815701,"NWT",120,21.37
3.15828490430229,"Amateur",121,17.98
3.57843205426287,"Amateur",122,19.57
2.96719565910041,"NWT",123,22.84
3.43130305635572,"Amateur",124,17.38
3.8636700995539,"Amateur",125,18.51
3.0896071570467,"Amateur",126,18.07
5.31655930928516,"Amateur",127,17.22
3.22294203676787,"Amateur",128,16.28
3.7285773077503,"Amateur",129,16.92
4.26745128488107,"NWT",130,22.02
2.77237725376558,"NWT",131,23.36
3.07586932276556,"Amateur",132,17.95
2.54067628345495,"NWT",133,20.89
3.40833578054078,"Amateur",134,15.5
2.26557960243631,"NWT",135,33.66
1.78474210505983,"NWT",136,29.39
2.68844354511098,"Amateur",137,18.07
2.62938516679935,"NWT",138,23.14
4.00572462792042,"Amateur",139,18.36
4.56390366712751,"Amateur",140,16.03
3.51988596077188,"Amateur",141,18.57
2.46908366244063,"Amateur",142,17.72
3.53451889639502,"Amateur",143,15.85
