"","prob","id","age","team"
"672",0.998831172444106,1,14.38,1
"673",0.994374109904423,13,16.92,1
"674",0.992497534628178,15,15.98,1
"675",0.999344215126926,1,12.64,1
"676",0.997435288292125,13,15.17,1
"677",0.999130996773736,19,15.38,1
"678",0.994045863759786,5,15.4,1
"679",0.999744493315774,13,14.94,1
"680",0.994545603307295,18,15.84,1
"681",0.989553991750908,19,16.47,1
"682",0.999391219372376,5,15.16,1
"683",0.99923869745595,13,14.7,1
"684",0.996344724195423,18,15.6,1
"685",0.995286265028163,19,16.23,1
"686",0.999041716192561,5,15,1
"687",0.996417816154275,12,15.48,1
"688",0.998824481694237,13,14.54,1
"689",0.994286871836343,18,15.44,1
"690",0.974060093124071,19,16.07,1
"691",0.999351034865193,1,13.05,1
"692",0.999686992882692,13,15.58,1
"693",0.996368408341804,15,15.64,1
"694",0.961651382897655,10,19.29,1
"695",0.777437639061137,14,20.15,1
"696",0.648159464649861,16,18.97,1
"697",0.988062771923675,10,18.31,1
"698",0.97727617695446,14,19.18,1
"699",0.961621207494038,17,17.23,1
"700",0.979217150505363,10,18.82,1
"701",0.98648773402063,14,19.68,1
"702",0.988330327372539,20,17.74,1
"703",0.966954300546143,17,17,1
"704",0.791535665775974,14,19.86,1
"705",0.804359911008031,3,18.64,1
"706",0.615119190478859,6,18.82,1
"707",0.826093139659652,17,18.53,1
"708",0.875580876242123,19,17.63,1
"709",0.949347264546174,3,17.81,1
"710",0.964667896374809,5,17.21,1
"711",0.80835310909167,17,19.7,1
"712",0.948643557137617,19,17.8,1
"713",0.873234297772789,10,19.12,1
"714",0.814530424097747,14,19.99,1
"715",0.625007567286013,16,18.81,1
"716",0.512960909617168,2,19.76,1
"717",0.981703576626061,16,17.06,1
"718",0.826467251567071,3,19.11,1
"719",0.6336313304852,17,21,1
"720",0.593768566187146,10,19.39,1
"721",0.568607710000825,14,20.25,1
"722",0.277231561739849,16,19.07,1
"723",0.89506083179984,2,20.35,1
"724",0.447346787587176,8,21.71,1
"725",0.971020591489626,10,17.98,1
"726",0.966817393968809,14,18.84,1
"727",0.181513969246302,2,22,2
"728",0.410456556108223,2,20.19,2
"729",0.32684367852579,8,21.55,2
"730",0.233129666563933,9,23.45,2
"731",0.852021711454186,16,17.5,2
"732",0.591756887144572,2,21.28,2
"733",0.151079651300244,4,21.99,2
"734",0.961398540043163,11,18.75,2
"735",0.34603221621872,2,21.38,2
"736",0.000404489848209844,7,27.43,2
"737",0.0808701394904707,16,21.06,2
"738",0.619139488407674,8,20.74,2
"739",0.0836191311968127,2,22.3,2
"740",0.00818458128982524,7,25.99,2
"741",0.512957586794468,16,19.61,2
"742",0.00224338513741262,7,26.82,2
"743",0.0725715621229247,2,22.47,2
"744",0.00127694556981939,7,26.15,2
"745",0.264872519370512,16,19.78,2
"746",0.507830939217266,2,21.17,2
"747",0.264060256818399,2,21.09,2
"748",0.164682510150035,8,22.44,2
"749",0.000985366221733508,7,26.95,2
"750",0.423133588328588,16,20.58,2
